,movie_id,movie_title,overview,popularity,rating,tagline,runtime,revenue,release_date,vote_count,budget,genres,production_companies
390,818397,Memory,"Alex, an assassin-for-hire, finds that he's become a target after he refuses to complete a job for a dangerous criminal organization. With the crime syndicate and FBI in hot pursuit, Alex has the skills to stay ahead, except for one thing: he is struggling with severe memory loss, affecting his every move. Alex must question his every action and whom he can ultimately trust.",87.8,6.895,His mind is fading. His conscience is clear.,114,11300000,2022-04-28,1271,30000000,"['Action', 'Thriller', 'Crime']","['Black Bear Pictures', 'Welle Entertainment', 'Saville Productions', 'Open Road Films', 'Briarcliff Entertainment', 'STX Films', 'Universal Pictures']"
391,406898,半妖乳娘,This Category III period drama featuring power struggles and naughty things within the imperial palace walls definitely has effort put forth but immense chunks of plot holes are nowhere near filled up. Much seem missing in the story of poor Ru Yee who applies to be the nurse maid of the Emperor’s son. She gets help to gain access by Wei (Tan Lap-Man) and soon they are both heavily involved inside the palace. She as the nurse maid and he as a eunuch in training. Wei also finds time to murder Ru Yee’s sick husband and child… a fact barely mentioned after it’s happened.,92.2,5.332,,95,0,1992-03-12,3,0,['Drama'],['United Productions Ltd.']
392,370663,Below Her Mouth,An unexpected affair quickly escalates into a heart-stopping reality for two women whose passionate connection changes their lives forever.,87.4,6.8,Where desire lives,92,33673,2017-02-10,1057,0,"['Drama', 'Romance']",['Serendipity Point Films']
393,1140066,Paradise,A man sees the dark side of the time-manipulating biotech company he works for when a crushing debt forces his wife to give up 40 years of her own life.,77.3,6.734,,117,0,2023-06-24,296,0,"['Science Fiction', 'Thriller', 'Action']",['NEUESUPER']
394,11,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,85.44,8.2,"A long time ago in a galaxy far, far away...",121,775398007,1977-05-25,19038,11000000,"['Adventure', 'Action', 'Science Fiction']","['Lucasfilm Ltd.', '20th Century Fox']"
395,863,Toy Story 2,"Andy heads off to Cowboy Camp, leaving his toys to their own devices. Things shift into high gear when an obsessive toy collector named Al McWhiggen, owner of Al's Toy Barn kidnaps Woody. Andy's toys mount a daring rescue mission, Buzz Lightyear meets his match and Woody has to decide where he and his heart truly belong.",90.5,7.59,The toys are back!,92,497366869,1999-10-30,12820,90000000,"['Animation', 'Comedy', 'Family']",['Pixar']
396,774825,The Ice Age Adventures of Buck Wild,The fearless one-eyed weasel Buck teams up with mischievous possum brothers Crash & Eddie as they head off on a new adventure into Buck's home: The Dinosaur World.,81.0,6.68,Disney+ gets wild.,82,0,2022-01-28,1542,0,"['Animation', 'Comedy', 'Adventure', 'Family']","['Bardel Entertainment', 'Walt Disney Pictures']"
397,9453,Caligola,"The perversion behind imperial Rome, the epic story of Rome's mad Emporer. All the details of his cruel, bizarre reign are revealed right here: His unholy sexual passion for his sister, his marriage to Rome's most infamous prostitute, his fiendishly inventive means of disposing those who would oppose him, and more.",81.06,5.992,What would you have done if you had been given absolute power of life and death over everybody else in the whole world?,156,23438120,1979-08-14,695,17500000,"['Drama', 'History', 'Romance']","['Penthouse Films International', 'Felix Cinematorgrafica']"
398,1041513,Encanto at the Hollywood Bowl,"A taped performance of the Encanto Live-to-Film Concert Experience at the Hollywood Bowl. The original cast puts on a miracle of a concert as they sing the favorite songs, accompanied by a full orchestra and 50 person ensemble, and the Hollywood Bowl transforms into Casita!",80.94,7.0,,45,0,2022-12-28,148,0,"['Music', 'Documentary']","['AMP International', 'Disney Concerts', 'Fulwell 73', 'Live Nation Productions']"
399,842945,Supercell,"Good-hearted teenager William always lived in hope of following in his late father’s footsteps and becoming a storm chaser. His father’s legacy has now been turned into a storm-chasing tourist business, managed by the greedy and reckless Zane Rogers, who is now using William as the main attraction to lead a group of unsuspecting adventurers deep into the eye of the most dangerous supercell ever seen.",78.9,6.023,The chase is on.,100,0,2023-03-17,188,0,['Action'],"['Thomasville Pictures', 'Highland Film Group', 'Saban Films', 'Short Porch Pictures', 'Streamline Global', 'Bay Point Media', 'Volition Media Partners']"
