movie_id,movie_title,overview,popularity,rating,tagline,runtime,revenue,release_date,vote_count,budget,genres,production_companies
27578,The Expendables,"Barney Ross leads a band of highly skilled mercenaries including knife enthusiast Lee Christmas, a martial arts expert Yin Yang, heavy weapons specialist Hale Caesar, demolitionist Toll Road, and a loose-cannon sniper Gunner Jensen. When the group is commissioned by the mysterious Mr. Church to assassinate the dictator of a small South American island, Barney and Lee visit the remote locale to scout out their opposition and discover the true nature of the conflict engulfing the city.",58,6.224,Choose your weapon.,103,274470394,2010-08-03,7155,80000000,"['Thriller', 'Adventure', 'Action']","['Nimar Studios', 'Rogue Marble', 'Millennium Media', 'Nu Image', 'Lionsgate', 'Thunder Road']"
460465,Mortal Kombat,"Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe.",50,7.085,Get over here.,110,84426031,2021-04-07,5387,20000000,"['Action', 'Fantasy', 'Adventure']","['Atomic Monster', 'Broken Road Productions', 'New Line Cinema']"
442249,The First Purge,"To push the crime rate below one percent for the rest of the year, the New Founding Fathers of America test a sociological theory that vents aggression for one night in one isolated community. But when the violence of oppressors meets the rage of the others, the contagion will explode from the trial-city borders and spread across the nation.",50,5.985,A Nation Reborn,97,137056262,2018-07-04,3652,13000000,"['Horror', 'Action', 'Thriller']","['Platinum Dunes', 'Blumhouse Productions', 'Universal Pictures']"
429473,Lou,A young girl is kidnapped during a powerful storm. Her mother joins forces with her mysterious neighbour to set off in pursuit of the kidnapper. Their journey will test their limits and expose the dark secrets of their past.,47,6.619,,107,0,2022-09-23,558,0,"['Action', 'Thriller']",['Bad Robot']
50270,Paprika,"A young country girl comes to town and works in a brothel in order to help her fiance get the money to start his own business. ""Paprika"" is the name given to her by the madam.",62,7.057,Tinto Brass re-opens the closed houses!,99,0,1991-02-13,351,0,['Drama'],"['Scena Group', 'San Francisco Film']"
198184,Chappie,"Every child comes into the world full of promise, and none more so than Chappie: he is gifted, special, a prodigy. Like any child, Chappie will come under the influence of his surroundings—some good, some bad—and he will rely on his heart and soul to find his way in the world and become his own man. But there's one thing that makes Chappie different from any one else: he is a robot.",48,6.777,I am consciousness. I am alive. I am Chappie.,120,104399548,2015-03-04,7399,49000000,"['Crime', 'Action', 'Science Fiction']","['Columbia Pictures', 'MRC', 'LStar Capital', 'Simon Kinberg Productions', 'Genre Films', 'Alpha Core', 'Ollin Studio', 'Sony Pictures']"
86331,Q,"In a social context deteriorated by a countrywide economic crisis, the life of several people will be turned upside down after they meet Cécile, a character who symbolizes desire.",66,6.0,"Love, desire and complications...",103,0,2011-10-06,740,1344000,"['Drama', 'Romance']","['Acajou Films', 'Rebel Rebel', 'Birka Holding']"
880841,Abandoned,"After a young couple moves into a remote farmhouse with their infant son, the woman's struggles with postpartum psychosis begin to intensify... as the house reveals secrets of its own.",45,6.18,"In this house, you're never yourself. And never alone.",102,0,2022-06-17,231,0,"['Horror', 'Mystery', 'Thriller']",['Vertical Entertainment']
262500,Insurgent,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart.,50,6.364,One Choice Can Destroy You,119,295238201,2015-03-18,9457,110000000,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","['Summit Entertainment', 'Red Wagon Entertainment', 'Mandeville Films', 'NeoReel', 'Lionsgate']"
59053,La Riffa,"Francesca, an incredibly beautiful woman, after the death of her husband discovers his unfaithfulness and huge amount of debts he left. Cesare is Francesca's best friend, he is a solicitor. Following his advice Francesca starts selling all her goods, like the house, jewels, furs and finally also the yacht. By doing this she is able to survive for the rest of the year, but has no prospects for the future and every attempt to get a job fails. Finally she makes a decision to set up a lottery in which the prize is her.",60,6.858,,93,0,1991-11-15,123,0,['Drama'],['Artisti Associati']
